#{"t_start": 1668693555.3180852, "env_id": "procgen-bigfish-v0"}
r,l,t
0.0,68,444.440168
0.0,31,444.488268
0.0,62,444.575876
0.0,281,445.015217
0.0,74,445.123923
0.0,71,445.241686
0.0,44,445.315053
0.0,56,445.40215
0.0,145,445.614555
0.0,156,445.855196
0.0,52,445.930487
1.0,65,446.098217
0.0,23,462.460081
0.0,82,462.59118
0.0,15,462.613488
0.0,22,462.648915
16.0,3280,467.149617
0.0,145,467.299083
1.0,83,467.394557
0.0,369,467.727983
0.0,81,467.804699
0.0,86,467.888478
1.0,77,471.706483
0.0,152,471.936769
0.0,149,472.173904
0.0,265,472.576922
3.0,219,472.927381
0.0,88,473.072566
0.0,77,473.19959
0.0,60,473.294235
0.0,90,473.441136
0.0,55,473.530441
1.0,229,473.862303
0.0,61,473.951465
0.0,98,474.099865
0.0,50.0,973,474.701765
1.0,229,491.926571
0.0,97,492.072551
0.0,257,492.460.0,668,492.478229
0.0,2.0,206,492.895287
1.0,117,493.067734
0.0,221,493.398206
0.0,116,493.568755
0.0,17,493.592866
0.0,137,493.800979
0.0,27,493.841343
0.0,58,493.922211
0.0,135,494.120908
0.0,45,494.190604
1.0,227,494.534972
0.0,91,494.681171
0.0,147,511.063315
0.0,250,511.564735
0.0,73,511.674194
0.0,22,511.705144
0.0,52,511.784937
0.0,19,511.821717
0.0,32,511.869137
0.0,114,512.044752
0.0,76,512.156982
0.0,153,512.379855
0.0,72,512.496342
0.0,190,512.786593
0.0,104,512.948155
1.0,311,513.433126
0.0,77,513.544601
1.0,150,513.766746
2.0,216,514.138305
0.0,92,530.628226
2.0,137,530.865851
0.0,21,530.895077
0.0,55,530.980104
0.0,162,531.1384
1.0,239,531.36139
6.0,3453,534.131573
0.0,47,534.166584
0.0,122,534.259251
1.0,262,534.454774
0.0,53,536.39652
0.0,65,536.495633
0.0,139,536.706062
0.0,63,536.800102
0.0,85,536.928428
1.0,174,537.198425
0.0,115,537.380181
0.0,107,537.542075
0.0,148,537.771536
0.0,35,537.822328
0.0,46,537.894437
0.0,153,538.121359
0.0,20,538.149348
0.0,81,538.274788
0.0,65,538.366703
0.0,165,538.631425
0.0,54,538.724745
0.0,119,538.9039
0.0,140,539.1134
0.0,68,539.216521
0.0,39,539.270189
0.0,86,539.398055
0.0,44,555.39314
1.0,141,555.792282
1.0,488,556.534307
0.0,61,556.626031
0.0,38,556.683928
0.0,154,556.918202
0.0,167,5572.0,2038,575.950415
0.0,59,576.036193
0.0,77,576.159091
0.0,220,576.50585
0.0,116,576.684052
1.0,69,576.789538
0.0,53,576.871142
1.0,102,577.023092
0.0,174,577.297189
0.0,12,577.31468
0.0,50,577.393988
0.0,57,577.476387
0.0,57,577.562745
0.0,13,577.5817
0.0,165,577.840788
0.0,31,594.340529
0.0,192,594.652561
0.0,25,594.679175
0.0,83,594.773815
0.0,569,595.413977
0.0,85,595.516066
0.0,67,595.592222
1.0,156,595.764748
0.0,84,595.856713
0.0,12,595.868296
0.0,17,599.555616
0.0,62,599.647423
0.0,154,599.884025
0.0,128,600.084049
0.0,145,600.309347
0.0,53,600.403258
0.0,23,600.435131
0.0,103,600.591375
0.0,171,600.859183
0.0,177,601.142401
0.0,23,601.179327
0.0,216,601.517577
0.0,126,601.717521
0.0,215,602.048583
2.0,420,602.704372
0.0,93,619.173091
0.0,192,619.59435
0.0,154,619.924624
1.0,511,620.81557
1.0,79,620.961778
0.0,338,621.468607
0.0,48,621.542534
0.0,78,621.665044
0.0,65,621.764183
0.0,78,621.900439
0.0,114,622.070028
0.0,195,622.450528
0.0,94,622.623523
0.0,29,639.190899
1.0,517,640.384005
0.0,199,640.701422
0.0,153,641.042697
0.0,162,641.294889
0.0,20,641.327764
0.0,71,641.471496
0.0,96,641.773666
1.0,265,642.427507
0.0,113,642.680459
1.0,133,642.908557
0.0,288,643.34285
31
0.0,63,642.872051
0.0,13,642.898887
0.0,163,643.143419
0.0,139,643.359534
0.0,126,643.539017
0.0,39,643.624832
0.0,35,643.728158
5189
0.0,26,621.363558
1.0,214,621.686682
1.0,409,622.404558
0.0,29,622.462613
0.0,33,622.529388
0.0,278,639.873115
0.0,74,640.025938
0.0,95,640.179137
0.0,117,640.354479
0.0,48,640.429865
0.0,111,640.605588
1.0,133,640.884229
1.0,235,641.278591
0.0,138,641.605975
0.0,98,641.911889
0.0,33,642.00183
0.0,33,642.088711
1.0,144,642.413428
0.0,302,642.969916
0.0,148,643.199871
0.0,62,660.632812
0.0,48,660.756474
0.0,116,660.996945
0.0,110,621.923385
0.0,89,622.057334
0.0,72,622.170719
0.0,39,622.236554
0.0,99,622.448771
0.0,23,622.495848
0.0,328,640.137058
0.0,56,640.243285
0.0,95,640.407274
0.0,81,640.52985
0.0,242,640.995662
0.0,80,641.154973
0.0,115,641.330255
0.0,39,641.393151
1.0,97,641.62256
0.0,34,641.72989
0.0,11,641.77119
1.0,78,641.995425
0.0,77,642.189129
0.0,106,642.425326
0.0,165,642.772685
0.0,271,643.196976
0.0,73,643.308531
1.0,95,643.442936
0.0,160,643.878272
0.0,31,643.977047
